Account,classification,total_trades,win_rate,total_pnl,avg_pnl,total_usd,pnl_std,ROI
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,0.8,1793.1602149999999,358.63204299999995,159708.30000000002,687.2601274797265,0.011227720882383694
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,0.3822269807280514,30121.91049,16.125219748394002,13491850.52,69.48597242310531,0.0022326003720059004
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,0.24444444444444444,-100019.806374,-185.22186365555558,10486688.13,1411.651234278587,-0.009537787825296946
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,0.0,-19038.340561,-31.78354016861436,4848220.23,112.28428002216312,-0.0039268720598115234
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,0.2874564459930314,-25666.012284,-44.71430711498258,463208.61,389.0615420095379,-0.05540918655203754
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,0.4444592968854431,108009.960644,14.437904109611015,3277267.08,94.6459238703465,0.03295732633545387
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,0.4303073624017155,13422.524859,9.59437087848463,917809.07,66.17043587814851,0.014624528453396086
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,0.4484848484848485,31192.591971,10.50255621919192,1489279.85,51.20010567336759,0.020944748544741272
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,0.46674182638105977,5505.749364,6.207158245772266,609457.49,37.46806589676632,0.009033852982920925
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,0.6875,11415.247787,101.92185524107143,277460.02999999997,146.89000780125227,0.041141953985228075
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,0.4878213802435724,90895.05041,61.49868092692828,5039569.4,281.6404134274913,0.01803627318040307
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,0.4330708661417323,3979.190772,10.444070267716535,584523.86,65.99531064287996,0.006807576292950642
